udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type
446,L47625,L,297.5,308.6,1793,26.7,70,No Failure
7076,L54255,L,300.7,310.5,1536,47.4,192,No Failure
1191,L48370,L,297.2,308.4,1460,42.1,41,No Failure
2618,L49797,L,299.4,309.1,1670,35.9,68,No Failure
5067,L52246,L,304.1,313.1,1550,30.9,9,No Failure
191,L47370,L,298.2,308.4,1477,49.9,72,No Failure
2601,L49780,L,299.3,309,1422,47.3,25,No Failure
3300,L50479,L,301.3,310.5,1390,45.8,63,No Failure
6729,L53908,L,301.5,310.9,1891,23.2,122,No Failure
4824,L52003,L,303.5,311.9,1493,38.7,14,No Failure
6848,L54027,L,301.2,311.4,1757,28,6,No Failure
1238,M16097,M,297.1,308.4,1502,37.3,181,No Failure
199,L47378,L,298.4,308.7,1588,35,99,No Failure
3703,L50882,L,302,311.2,1434,44.9,15,No Failure
6984,M21843,M,300.7,311,1334,53.9,150,No Failure
3601,L50780,L,301.7,310.5,1523,34.7,181,No Failure
1737,L48916,L,298.4,307.9,1544,35.9,132,No Failure
6992,L54171,L,300.8,311.1,1509,33.4,172,No Failure
9921,H39334,H,298.5,308.7,1450,43.9,28,No Failure
5593,L52772,L,302.5,311.9,1437,46.7,65,No Failure
2910,L50089,L,300.7,309.6,1500,44.1,122,No Failure
8041,L55220,L,300.8,311.9,1498,39.3,23,No Failure
8525,L55704,L,298.3,309.4,1468,46.2,10,No Failure
4475,L51654,L,302.7,310.5,1563,35,8,No Failure
7611,M22470,M,300.5,311.3,1507,43.4,41,No Failure
2405,M17264,M,299.1,308.7,2008,20.3,178,No Failure
9048,L56227,L,297.3,308.4,1488,37.4,69,No Failure
146,L47325,L,298.5,308.4,1513,33.6,172,No Failure
2049,L49228,L,299.3,309.2,1465,41.5,127,No Failure
2964,M17823,M,300.7,309.6,1439,43,61,No Failure
8868,L56047,L,297.9,308.9,1566,41.9,50,No Failure
9211,M24070,M,297.9,309,2456,13.9,82,No Failure
8598,L55777,L,297.6,308.3,1410,47,191,No Failure
1123,L48302,L,296.5,307.6,1541,38.5,98,No Failure
3894,L51073,L,302.3,311.2,1549,40.6,66,No Failure
5175,M20034,M,304.2,313.5,1390,47.8,83,No Failure
2477,H31890,H,298.9,308.4,1449,42.4,149,No Failure
5531,M20390,M,302.3,311.8,1355,50.1,104,No Failure
7916,H37329,H,300.8,312.1,1527,35.1,164,No Failure
5441,H34854,H,303,312.5,1698,30,89,No Failure
5764,H35177,H,301.8,311.2,1451,39.4,70,No Failure
3779,M18638,M,302.4,311.1,1366,54.4,0,No Failure
8844,H38257,H,297.3,308.8,1564,38,191,No Failure
4227,L51406,L,302.1,310.8,1596,37.1,43,No Failure
7525,L54704,L,300.2,311.5,1639,31.1,31,No Failure
3002,L50181,L,300.5,309.8,1445,43.9,164,No Failure
6076,L53255,L,301,310.9,1813,28.5,197,No Failure
7154,L54333,L,300.2,310,1493,47.3,172,No Failure
1108,M15967,M,296.7,307.5,1515,42.1,55,No Failure
5754,L52933,L,302.2,311.6,1416,54.1,48,No Failure
7020,L54199,L,300.8,310.8,1741,27.1,39,No Failure
4094,M18953,M,302,310.5,1573,32.1,143,No Failure
1552,L48731,L,298.4,308.8,1458,40.1,111,No Failure
8607,M23466,M,297.5,308.4,1505,37.2,215,No Failure
3913,L51092,L,302.4,311.4,1475,40.4,126,No Failure
5295,L52474,L,303.9,313.4,1442,48.5,174,No Failure
931,M15790,M,295.5,305.9,1453,47.3,9,No Failure
130,L47309,L,298.9,308.5,1559,34.3,126,No Failure
9041,L56220,L,297.3,308.3,1550,37,54,No Failure
3420,L50599,L,301.5,310.5,1611,33.8,144,No Failure
4347,L51526,L,301.8,309.7,1598,30.4,124,No Failure
8329,L55508,L,298.6,309.5,1325,52.2,127,No Failure
1288,L48467,L,298.5,309.6,1419,41.5,105,No Failure
9931,L57110,L,298.3,308.3,1452,45.5,63,No Failure
6441,L53620,L,300.6,310.2,1648,31.7,46,No Failure
5052,L52231,L,303.9,313,1480,39.9,176,No Failure
7960,L55139,L,301,312.1,1585,32.3,50,No Failure
5127,L52306,L,304.3,313.5,1802,25.4,170,No Failure
4137,L51316,L,301.7,310.1,1487,48,36,No Failure
3481,L50660,L,301.9,310.8,1400,58.2,79,No Failure
9585,L56764,L,299.3,310.5,1529,41.3,17,No Failure
9976,M24835,M,298.6,308.3,1589,34.1,174,No Failure
2828,L50007,L,300.4,309.4,1412,51.6,153,No Failure
6088,M20947,M,300.9,310.8,1599,33,7,No Failure
7696,L54875,L,300.6,311.7,1488,47.7,22,No Failure
1580,L48759,L,298.3,308.3,1444,43.8,176,No Failure
1571,L48750,L,298.2,308.4,1452,43.5,158,No Failure
7750,L54929,L,300.4,311.6,1674,33,172,No Failure
4831,L52010,L,303.5,312,1756,29.7,28,No Failure
6951,H36364,H,300.7,311.3,1374,53.1,66,No Failure
8367,M23226,M,298.9,309.8,1836,22.8,18,No Failure
1799,M16658,M,298,307.5,1431,52.9,92,No Failure
4199,M19058,M,302.4,311.1,1432,44.5,195,No Failure
8046,M22905,M,300.7,311.9,1366,55.1,36,No Failure
9150,M24009,M,297.5,308.6,1429,50.5,129,No Failure
4538,L51717,L,302.3,310.2,1548,35.3,170,No Failure
8352,M23211,M,298.7,309.6,1686,26.2,189,No Failure
589,L47768,L,297.6,309.4,1628,33.4,229,No Failure
3132,L50311,L,300.1,309.5,1660,32.7,57,No Failure
2208,L49387,L,299.8,309.2,1591,37.5,109,No Failure
2383,L49562,L,299.1,308.3,1601,31.4,121,No Failure
6131,L53310,L,301,310.9,1473,44.2,116,No Failure
4467,L51646,L,302.8,310.6,1470,41.1,205,No Failure
5117,L52296,L,304.2,313.8,1401,53.9,142,No Failure
6584,M21443,M,301.5,310.5,1503,38.2,200,No Failure
1713,L48892,L,298.3,307.9,1551,33.8,72,No Failure
2863,L50042,L,300.6,309.5,1867,23,242,Tool Wear Failure
5059,L52238,L,303.9,312.9,1526,42.5,194,No Failure
5864,M20723,M,301.4,311.1,1758,25.4,88,No Failure
9241,M24100,M,298.1,308.7,1362,49.6,158,No Failure
9917,M24776,M,298.5,308.8,1553,34.9,18,No Failure
3643,L50822,L,302.3,311.6,1309,57.6,77,No Failure
7143,H36556,H,300.3,309.7,1452,41.5,139,No Failure
62,M14921,M,298.8,309,1592,38.2,169,No Failure
7385,L54564,L,299.7,310.4,1614,36.2,108,No Failure
6687,L53866,L,301.7,311,1715,24.8,17,No Failure
6700,M21559,M,301.7,310.8,1516,40.4,48,No Failure
2850,L50029,L,300.4,309.3,1766,28.2,207,No Failure
8670,M23529,M,297.5,308.8,1471,52.3,152,No Failure
1140,M15999,M,297,307.9,1569,33.3,141,No Failure
5280,L52459,L,303.6,313,1522,35.8,133,No Failure
2515,L49694,L,298.9,308.6,2069,18.7,27,No Failure
4399,M19258,M,302.3,310.1,1563,37.8,31,No Failure
6145,M21004,M,301.1,311.1,1615,37.7,153,No Failure
6481,L53660,L,300.7,309.9,1775,26.6,149,No Failure
1513,H30926,H,298,308.7,1503,36.3,5,No Failure
9709,L56888,L,299,310.1,1664,29.7,89,No Failure
7401,M22260,M,299.6,310.6,1633,34.2,151,No Failure
1762,L48941,L,298.1,307.6,1950,20.3,202,No Failure
5478,L52657,L,302.7,312.1,1763,26.5,184,No Failure
8480,L55659,L,298.6,309.7,1627,33.4,99,No Failure
636,L47815,L,298.3,310,1858,23.9,114,No Failure
1963,L49142,L,297.8,307.5,1391,48.6,109,No Failure
400,L47579,L,297.4,308.4,1392,49.7,174,No Failure
2893,L50072,L,300.7,309.6,1329,54.3,80,No Failure
5907,L53086,L,300.7,310.3,1533,35.6,198,No Failure
504,M15363,M,297.6,309.2,1442,48.1,0,No Failure
712,L47891,L,297.5,308.7,1443,46.2,110,No Failure
1506,L48685,L,298,308.7,1626,36.7,210,No Failure
8653,H38066,H,297.3,308.3,1461,41.5,108,No Failure
8706,L55885,L,297.2,308.6,1437,52.4,37,No Failure
8964,M23823,M,297.2,307.9,1687,30.4,82,No Failure
3990,L51169,L,302.2,311.3,1602,32.8,120,No Failure
5164,M20023,M,304.2,313.4,1713,23.5,50,No Failure
7269,L54448,L,300.5,310.6,1543,36.2,30,No Failure
9580,L56759,L,299.5,310.7,1589,33.5,5,No Failure
3199,M18058,M,300,309.1,1463,45.7,11,No Failure
3772,M18631,M,302.3,311,1384,49.7,192,No Failure
9913,L57092,L,298.6,308.9,1327,58.8,9,No Failure
4381,L51560,L,301.9,309.6,1410,49,223,No Failure
5981,M20840,M,300.6,310.7,1654,32,180,No Failure
5228,L52407,L,303.9,313.1,1440,41.1,12,No Failure
7305,L54484,L,300.1,310.5,1394,44.3,121,No Failure
4027,M18886,M,302.1,311,1574,34.1,215,No Failure
5424,L52603,L,302.6,312.3,1647,31.8,52,No Failure
1413,M16272,M,298.8,309.9,1415,53.2,194,No Failure
8772,L55951,L,297.5,308.6,1536,39,202,No Failure
8611,L55790,L,297.4,308.3,1561,38.3,0,No Failure
4654,M19513,M,303.1,311.1,1594,35.5,13,No Failure
7183,L54362,L,300.3,310.3,2158,16.8,32,No Failure
3257,L50436,L,301.1,309.8,1519,39.6,167,No Failure
1832,M16691,M,297.8,307.3,1315,54,180,No Failure
9949,L57128,L,298.2,307.8,1804,25.1,108,No Failure
3885,H33298,H,302.5,311.5,1626,36,44,No Failure
4462,L51641,L,302.7,310.5,1642,30.8,195,No Failure
2823,L50002,L,300.3,309.6,1593,38.1,140,No Failure
2927,L50106,L,300.7,309.7,1507,52.4,163,No Failure
9262,H38675,H,298.3,309,1470,38.4,10,No Failure
2594,H32007,H,298.9,308.5,1415,54,6,No Failure
8668,M23527,M,297.5,308.8,1455,46.1,147,No Failure
8004,M22863,M,300.8,312,1274,67.3,159,Power Failure
7569,L54748,L,300.2,311,1627,33.7,147,No Failure
3680,L50859,L,302.2,311.5,1725,34,170,No Failure
2072,M16931,M,299.7,309.6,1313,60,186,No Failure
9639,H39052,H,299.3,310.4,1393,44.9,162,No Failure
7962,L55141,L,301,312.2,1264,59,57,No Failure
7860,M22719,M,300.5,311.9,1370,44.8,20,No Failure
6627,L53806,L,301.6,310.6,1613,42.5,97,No Failure
8040,L55219,L,300.8,311.9,1560,31.8,21,No Failure
1018,L48197,L,296.3,307.2,1637,31.6,27,No Failure
2861,H32274,H,300.6,309.4,1463,49.2,235,Overstrain Failure
6717,L53896,L,301.3,310.6,1387,53.6,94,No Failure
2817,L49996,L,300.1,309.4,1434,47.3,127,No Failure
7253,H36666,H,300.2,310.4,1501,42.9,212,No Failure
1948,L49127,L,298.2,308.1,1462,49.9,69,No Failure
8280,L55459,L,298.8,310.6,1803,25.4,209,No Failure
4438,L51617,L,302.4,310.2,1578,31.2,139,No Failure
5959,L53138,L,300.6,310.8,1533,38.5,117,No Failure
7684,L54863,L,300.7,311.7,1524,43.5,222,No Failure
454,L47633,L,297.4,308.7,1510,36.2,92,No Failure
8731,H38144,H,297.3,308.7,1569,33.9,93,No Failure
1593,L48772,L,298.1,308.4,1592,38.2,211,No Failure
1775,M16634,M,298.5,308,1519,37.3,29,No Failure
7803,L54982,L,299.9,311.3,1429,58.2,103,No Failure
3061,L50240,L,300,309.1,1882,23.8,84,No Failure
8766,L55945,L,297.4,308.8,1353,49.4,188,No Failure
5810,H35223,H,301.3,311,1580,36.6,184,No Failure
9014,H38427,H,297.2,308,1435,43,202,No Failure
9658,L56837,L,299,310,1484,39.6,212,No Failure
8301,L55480,L,298.7,310.1,1558,37.6,44,No Failure
3127,L50306,L,300,309.4,1499,35.7,46,No Failure
4958,M19817,M,303.8,312.6,1768,23.9,149,No Failure
9445,L56624,L,298.1,308.9,2136,15.9,78,No Failure
8861,M23720,M,297.9,309.1,1488,37.3,30,No Failure
1175,M16034,M,297.1,308.1,1352,44.4,0,No Failure
6602,M21461,M,301.5,310.7,1347,47.9,29,No Failure
7343,M22202,M,299.7,310.3,1661,34.5,6,No Failure
5056,H34469,H,303.8,312.9,1378,45.6,184,No Failure
654,L47833,L,297.8,309.3,2015,20.1,161,No Failure
6264,M21123,M,301,310.6,1698,27.3,14,No Failure
6775,H36188,H,301.2,310.7,1747,27.3,35,No Failure
9787,M24646,M,298.7,309.6,1738,27.3,79,No Failure
462,L47641,L,297.4,308.7,1402,40.2,114,No Failure
9292,L56471,L,298.2,309,1353,57.8,89,No Failure
9688,M24547,M,299.1,310.1,1649,31.6,41,No Failure
5388,L52567,L,302.8,312.2,1433,50,216,No Failure
5492,M20351,M,302.7,312.2,1350,58.6,2,No Failure
9965,L57144,L,298.3,307.9,1766,26.5,145,No Failure
6671,L53850,L,301.5,310.6,1998,20.2,210,No Failure
9746,L56925,L,298.8,310,1611,32.4,183,No Failure
6379,L53558,L,300,309.6,1514,44.6,98,No Failure
7676,L54855,L,300.5,311.6,1447,45.4,204,No Failure
138,L47317,L,298.7,308.6,1297,55.3,148,No Failure
9010,L56189,L,297.3,307.9,1579,34.4,193,No Failure
576,M15435,M,297.9,309.9,1410,55.4,188,No Failure
3714,L50893,L,302.3,311.5,1565,35.6,41,No Failure
2874,H32287,H,300.6,309.4,1555,37.9,24,No Failure
5404,L52583,L,302.7,312.3,1858,25.4,2,No Failure
8036,L55215,L,300.7,311.7,1910,19.7,13,No Failure
7708,H37121,H,300.5,311.4,1679,27.5,59,No Failure
2955,H32368,H,300.6,309.4,1691,28,36,No Failure
1295,L48474,L,298.8,309.9,1486,40.3,126,No Failure
4861,M19720,M,303.6,312.4,1504,49.5,109,No Failure
2066,L49245,L,299.7,309.6,1419,45.1,170,No Failure
7057,M21916,M,300.8,310.5,1409,50.6,141,No Failure
861,H30274,H,296.1,306.9,1541,32.6,33,No Failure
3151,L50330,L,300.4,309.8,1513,32.9,117,No Failure
5601,L52780,L,302.8,312.1,1487,36.6,84,No Failure
4091,L51270,L,302,310.5,2197,15.8,133,No Failure
3588,H33001,H,301.8,310.5,1478,38.6,141,No Failure
8215,L55394,L,299.2,310.5,1391,45.8,38,No Failure
3974,L51153,L,302.3,311.4,1535,41.8,77,No Failure
8514,M23373,M,298.2,309.5,1478,36.5,182,No Failure
9293,L56472,L,298.2,309,1643,34.1,91,No Failure
6525,L53704,L,301.1,310.4,1874,24.8,47,No Failure
5940,L53119,L,300.5,310.5,1409,60.9,73,No Failure
5201,L52380,L,303.8,312.8,1416,58.7,156,No Failure
9039,L56218,L,297.3,308.3,2358,14.9,49,No Failure
1605,L48784,L,297.8,307.8,1452,39.8,21,No Failure
8833,L56012,L,297.4,308.8,1651,34.1,163,No Failure
7638,H37051,H,300.4,311.4,1445,52.4,105,No Failure
6075,M20934,M,301,310.8,1533,39.3,194,No Failure
445,L47624,L,297.4,308.4,1582,37.2,68,No Failure
6191,L53370,L,300.9,310.9,1749,26.4,40,No Failure
3343,L50522,L,301.5,310.8,1382,52.4,165,No Failure
3783,L50962,L,302.2,310.8,1827,23.8,9,No Failure
4637,L51816,L,303,311.3,1466,43,210,No Failure
3290,M18149,M,301.2,310.1,1295,56.6,39,No Failure
3429,L50608,L,301.6,310.6,1391,49.4,164,No Failure
2381,L49560,L,299,308.1,1242,60.9,117,No Failure
8790,L55969,L,297.4,308.5,1471,43.9,45,No Failure
4615,H34028,H,303,311.2,1503,37,152,No Failure
5324,M20183,M,303.4,312.7,1399,48.4,34,No Failure
295,M15154,M,298.1,308.5,1372,51.1,116,No Failure
1025,L48204,L,296.2,307.3,1711,29.9,42,No Failure
5689,M20548,M,302.3,311.7,1423,44.6,93,No Failure
8118,L55297,L,300.3,311.7,1406,47.5,14,No Failure
7554,L54733,L,300.3,311.3,1505,39.6,107,No Failure
8748,L55927,L,297.3,308.5,1504,42,142,No Failure
7649,L54828,L,300.4,311.4,1552,28.8,135,No Failure
2327,M17186,M,299.4,308.7,1487,52.6,205,No Failure
